# 反向缺口判定账本 —— origin/1.21.1 有、origin/26.1 没有的类，逐条判定去向
#
# 目的：**真动手实现时不必再查一遍。** 本仓库 1600+ 个源文件，重查一次代价很高。
# 由 docs/tools/host_gap.py --ledger 双向核对，账本与现实脱节即非 0 退出。
#
# 列： 路径(去 src/main/java/ 前缀) 	 行数 	 一句话说明 	 26.1 承接者 	 判定 	 备注
# 判定： 替换=功能还在只是换了实现/位置 · 生态=对应模组在 26.1.2 Fabric 上不存在
#        丢失=没有承接者，相对行为基准真少了东西 · 无关=死代码/与玩法无关 · 待定

com/github/tartaricacid/touhoulittlemaid/geckolib3/core/molang/storage/VariableStorage.java	85	geckolib3 内部：VariableStorage	MolangMemory+StackMemory	替换	geckolib3 是内嵌的第三方动画库副本，26.1 里仍有 218 个文件，宿主对它做了整包重构（事件扁平化/控制器分层/骨骼接口合并/渲染转状态驱动）。**按类逐条判定对内嵌库是错的粒度**——该问的是「动画行为对不对」，那要实机验，不是清点类
com/github/tartaricacid/touhoulittlemaid/geckolib3/core/molang/value/DoubleValue.java	33	geckolib3 内部：DoubleValue	未找到	替换	geckolib3 是内嵌的第三方动画库副本，26.1 里仍有 218 个文件，宿主对它做了整包重构（事件扁平化/控制器分层/骨骼接口合并/渲染转状态驱动）。**按类逐条判定对内嵌库是错的粒度**——该问的是「动画行为对不对」，那要实机验，不是清点类
com/github/tartaricacid/touhoulittlemaid/geckolib3/core/processor/IBone.java	40	geckolib3 内部：IBone	IBoneView	替换	geckolib3 是内嵌的第三方动画库副本，26.1 里仍有 218 个文件，宿主对它做了整包重构（事件扁平化/控制器分层/骨骼接口合并/渲染转状态驱动）。**按类逐条判定对内嵌库是错的粒度**——该问的是「动画行为对不对」，那要实机验，不是清点类
com/github/tartaricacid/touhoulittlemaid/geckolib3/core/processor/ILocationBone.java	27	geckolib3 内部：ILocationBone	IBoneView	替换	geckolib3 是内嵌的第三方动画库副本，26.1 里仍有 218 个文件，宿主对它做了整包重构（事件扁平化/控制器分层/骨骼接口合并/渲染转状态驱动）。**按类逐条判定对内嵌库是错的粒度**——该问的是「动画行为对不对」，那要实机验，不是清点类
com/github/tartaricacid/touhoulittlemaid/geckolib3/core/processor/PointData.java	7	geckolib3 内部：PointData	未找到	替换	geckolib3 是内嵌的第三方动画库副本，26.1 里仍有 218 个文件，宿主对它做了整包重构（事件扁平化/控制器分层/骨骼接口合并/渲染转状态驱动）。**按类逐条判定对内嵌库是错的粒度**——该问的是「动画行为对不对」，那要实机验，不是清点类
com/github/tartaricacid/touhoulittlemaid/geckolib3/core/util/Memoizer.java	20	geckolib3 内部：Memoizer	未找到	替换	geckolib3 是内嵌的第三方动画库副本，26.1 里仍有 218 个文件，宿主对它做了整包重构（事件扁平化/控制器分层/骨骼接口合并/渲染转状态驱动）。**按类逐条判定对内嵌库是错的粒度**——该问的是「动画行为对不对」，那要实机验，不是清点类
com/github/tartaricacid/touhoulittlemaid/geckolib3/geo/IGeoEntity.java	19	geckolib3 内部：IGeoEntity	GeckoRenderData	替换	geckolib3 是内嵌的第三方动画库副本，26.1 里仍有 218 个文件，宿主对它做了整包重构（事件扁平化/控制器分层/骨骼接口合并/渲染转状态驱动）。**按类逐条判定对内嵌库是错的粒度**——该问的是「动画行为对不对」，那要实机验，不是清点类
com/github/tartaricacid/touhoulittlemaid/geckolib3/geo/IGeoEntityRenderer.java	13	geckolib3 内部：IGeoEntityRenderer	IGeoRenderer<TState,TData>	替换	geckolib3 是内嵌的第三方动画库副本，26.1 里仍有 218 个文件，宿主对它做了整包重构（事件扁平化/控制器分层/骨骼接口合并/渲染转状态驱动）。**按类逐条判定对内嵌库是错的粒度**——该问的是「动画行为对不对」，那要实机验，不是清点类
com/github/tartaricacid/touhoulittlemaid/geckolib3/geo/animated/ILocationModel.java	48	geckolib3 内部：ILocationModel	AnimatedGeoModel	替换	geckolib3 是内嵌的第三方动画库副本，26.1 里仍有 218 个文件，宿主对它做了整包重构（事件扁平化/控制器分层/骨骼接口合并/渲染转状态驱动）。**按类逐条判定对内嵌库是错的粒度**——该问的是「动画行为对不对」，那要实机验，不是清点类
com/github/tartaricacid/touhoulittlemaid/geckolib3/geo/render/IGeoBuilder.java	9	geckolib3 内部：IGeoBuilder	GeoBuilder	替换	geckolib3 是内嵌的第三方动画库副本，26.1 里仍有 218 个文件，宿主对它做了整包重构（事件扁平化/控制器分层/骨骼接口合并/渲染转状态驱动）。**按类逐条判定对内嵌库是错的粒度**——该问的是「动画行为对不对」，那要实机验，不是清点类
com/github/tartaricacid/touhoulittlemaid/geckolib3/geo/render/built/GeoCube.java	202	geckolib3 内部：GeoCube	GeoMesh/GeoBone	替换	geckolib3 是内嵌的第三方动画库副本，26.1 里仍有 218 个文件，宿主对它做了整包重构（事件扁平化/控制器分层/骨骼接口合并/渲染转状态驱动）。**按类逐条判定对内嵌库是错的粒度**——该问的是「动画行为对不对」，那要实机验，不是清点类
com/github/tartaricacid/touhoulittlemaid/geckolib3/geo/render/built/GeoQuad.java	48	geckolib3 内部：GeoQuad	GeoMesh(内联)	替换	geckolib3 是内嵌的第三方动画库副本，26.1 里仍有 218 个文件，宿主对它做了整包重构（事件扁平化/控制器分层/骨骼接口合并/渲染转状态驱动）。**按类逐条判定对内嵌库是错的粒度**——该问的是「动画行为对不对」，那要实机验，不是清点类
com/github/tartaricacid/touhoulittlemaid/geckolib3/geo/render/built/GeoVertex.java	37	geckolib3 内部：GeoVertex	GeoMesh(内联)	替换	geckolib3 是内嵌的第三方动画库副本，26.1 里仍有 218 个文件，宿主对它做了整包重构（事件扁平化/控制器分层/骨骼接口合并/渲染转状态驱动）。**按类逐条判定对内嵌库是错的粒度**——该问的是「动画行为对不对」，那要实机验，不是清点类
com/github/tartaricacid/touhoulittlemaid/geckolib3/util/RenderUtils.java	79	geckolib3 内部：RenderUtils	未找到	替换	geckolib3 是内嵌的第三方动画库副本，26.1 里仍有 218 个文件，宿主对它做了整包重构（事件扁平化/控制器分层/骨骼接口合并/渲染转状态驱动）。**按类逐条判定对内嵌库是错的粒度**——该问的是「动画行为对不对」，那要实机验，不是清点类
com/github/tartaricacid/touhoulittlemaid/client/animation/CustomJsAnimationManger.java	119	Nashorn 引擎执行自定义 JS 动画	未找到	替换	已复核：同 animation/script 那批，Nashorn JS 动画整体被 gecko/molang 绑定取代
com/github/tartaricacid/touhoulittlemaid/client/animation/HardcodedAnimationManger.java	76	注册硬编码女仆特殊动画（游泳/三叉戟）	client/animation/special/HardcodedAnimation	替换	
com/github/tartaricacid/touhoulittlemaid/client/animation/gecko/magic/MagicCastingAnimationManager.java	73	魔法咏唱动画提供器	未找到	待定	子代理报「未找到」，**主模型尚未复核**
com/github/tartaricacid/touhoulittlemaid/client/event/ReloadResourceEvent.java	63	资源重载监听，触发自定义包重载	client/resource/listener/CustomPackReloadListener	替换	
com/github/tartaricacid/touhoulittlemaid/client/event/SpecialMaidRenderEvent.java	87	特殊女仆模型渲染（复活节彩蛋等）	未找到	待定	子代理报「未找到」，**主模型尚未复核**
com/github/tartaricacid/touhoulittlemaid/client/gui/entity/cache/CacheIconManager.java	119	女仆/椅子模型缓存图标管理	未找到	丢失	已复核：MiscConfig 的 MODEL_ICON_CACHE 开关在 26.1 也一并删了，是同一批移除
com/github/tartaricacid/touhoulittlemaid/client/gui/entity/cache/CacheScreen.java	109	模型缓存图标的显示屏	未找到	丢失	已复核：MiscConfig 的 MODEL_ICON_CACHE 开关在 26.1 也一并删了，是同一批移除
com/github/tartaricacid/touhoulittlemaid/client/gui/entity/maid/backpack/CraftingTableBackpackContainerScreen.java	54	工作台背包容器屏	未找到	丢失	【已补回 60aa8dcc6】已确认丢失（背包四型），见 entity/backpack 那批
com/github/tartaricacid/touhoulittlemaid/client/gui/entity/maid/backpack/EnderChestBackpackContainerScreen.java	54	末影箱背包容器屏	未找到	丢失	【已补回 8efc995d4】已确认丢失（背包四型），见 entity/backpack 那批
com/github/tartaricacid/touhoulittlemaid/client/gui/entity/maid/backpack/FurnaceBackpackContainerScreen.java	57	熔炉背包容器屏	未找到	丢失	【已补回 40b8cfde0】extractBackground + GuiTools.guiBlit，火焰/箭头 uv 与基准逐字相同，贴图实测 256×256。已确认丢失（背包四型），见 entity/backpack 那批
com/github/tartaricacid/touhoulittlemaid/client/gui/entity/maid/backpack/TankBackpackContainerScreen.java	77	液体背包容器屏	未找到	丢失	【已补回 ff7ee685d】extractBackground + MaidFluidRender.drawFluid，贴图实测 256×256。已确认丢失（背包四型），见 entity/backpack 那批
com/github/tartaricacid/touhoulittlemaid/client/gui/widget/button/MaidAIChatConfigButton.java	101	女仆 AI 聊天配置按钮	未找到	待定	子代理报「未找到」，**主模型尚未复核**；26.1 有 AI 聊天体系，多半是重构
com/github/tartaricacid/touhoulittlemaid/client/init/InitSpecialItemRender.java	109	特殊物品自定义模型渲染的初始化	client/event/RegisterSpecialModelEvent	替换	
com/github/tartaricacid/touhoulittlemaid/client/model/AbstractModel.java	25	EntityModel 的抽象基类	未找到	待定	子代理报「未找到」，**主模型尚未复核**
com/github/tartaricacid/touhoulittlemaid/client/model/EntityPlaceholderModel.java	26	实体占位符的 Bedrock 立方体模型	未找到	待定	子代理报「未找到」，**主模型尚未复核**
com/github/tartaricacid/touhoulittlemaid/client/model/bedrock/BedrockModel.java	182	Bedrock 模型渲染（支持 Gecko 动画）	client/model/bedrock/SimpleBedrockModel	替换	
com/github/tartaricacid/touhoulittlemaid/client/renderer/entity/EntityMarisaYukkuriSlimeRender.java	62	魔理沙 Yukkuri（岩浆怪替换）渲染器	未找到	丢失	已复核：属上游删除的原版替换功能（yukkuri 资源 11→0、VanillaConfig 整个删掉），与行为基准比是丢失
com/github/tartaricacid/touhoulittlemaid/client/renderer/entity/EntityYukkuriSlimeRender.java	56	Yukkuri（史莱姆替换）渲染器	未找到	丢失	已复核：属上游删除的原版替换功能（yukkuri 资源 11→0、VanillaConfig 整个删掉），与行为基准比是丢失
com/github/tartaricacid/touhoulittlemaid/client/renderer/entity/ReplaceExperienceOrbRenderer.java	76	经验球替换成点符的渲染器	未找到	丢失	已复核：属上游删除的原版替换功能（yukkuri 资源 11→0、VanillaConfig 整个删掉），与行为基准比是丢失（对应 REPLACE_XP_TEXTURE）
com/github/tartaricacid/touhoulittlemaid/client/renderer/item/PerspectiveBakedModel.java	69	按显示上下文切换烘焙模型视角	未找到	待定	子代理报「未找到」，**主模型尚未复核**
com/github/tartaricacid/touhoulittlemaid/client/renderer/item/ReplaceableBakedModel.java	87	可替换内部烘焙模型的代理	未找到	待定	子代理报「未找到」，**主模型尚未复核**
com/github/tartaricacid/touhoulittlemaid/client/renderer/texture/CacheIconTexture.java	43	缓存图标纹理加载	未找到	丢失	已复核：MiscConfig 的 MODEL_ICON_CACHE 开关在 26.1 也一并删了，是同一批移除
com/github/tartaricacid/touhoulittlemaid/client/renderer/texture/FilePackTexture.java	66	从文件系统加载自定义包纹理	client/renderer/texture/CustomPackTexture	替换	
com/github/tartaricacid/touhoulittlemaid/client/renderer/texture/GifTexture.java	107	GIF 动画纹理支持	未找到	丢失	已复核：GIF 表情气泡，1.21.11 注释记载这正是实机「有的只剩气泡框」的根因
com/github/tartaricacid/touhoulittlemaid/client/renderer/texture/ZipPackTexture.java	77	从 ZIP 包加载纹理	未找到	待定	子代理报「未找到」，**主模型尚未复核**
com/github/tartaricacid/touhoulittlemaid/client/renderer/tileentity/PicnicBasketRender.java	55	野餐篮的自定义渲染	client/renderer/blockentity/PicnicMatRender	待定	子代理报「未找到」，**主模型尚未复核**（承接者名字不同，需确认是不是同一个东西）
com/github/tartaricacid/touhoulittlemaid/client/renderer/tileentity/TileEntityEntityPlaceholderRenderer.java	103	实体占位符方块的渲染	未找到	待定	子代理报「未找到」，**主模型尚未复核**
com/github/tartaricacid/touhoulittlemaid/client/renderer/tileentity/TileEntityItemStackChairRenderer.java	72	椅子物品形态的渲染	client/renderer/item/ChairItemRenderer	替换	
com/github/tartaricacid/touhoulittlemaid/client/renderer/tileentity/TileEntityItemStackGarageKitRenderer.java	121	手办物品形态的渲染	client/renderer/item/GarageKitItemRenderer	替换	
com/github/tartaricacid/touhoulittlemaid/client/resource/BedrockModelLoader.java	113	Bedrock 模型资源加载与注册	client/resource/bedrock/InternalBedrockModelManager	替换	
com/github/tartaricacid/touhoulittlemaid/client/resource/GeckoModelLoader.java	163	Gecko 模型/动画 json 的加载解析	未找到	待定	子代理报「未找到」，**主模型尚未复核**
com/github/tartaricacid/touhoulittlemaid/client/resource/LegacyPackRepositorySource.java	45	遗留资源包仓库源	未找到	待定	子代理报「未找到」，**主模型尚未复核**
com/github/tartaricacid/touhoulittlemaid/client/tooltip/ClientBoardStateTooltip.java	190	棋局状态（五子棋/象棋）的物品提示渲染	未找到	丢失	【已补回 be630452f+d78f1ba29】已复核：26.1 无任何承接者，已按 26.1.2 的 extractImage/GuiGraphicsExtractor 形态补回。审计发现 be630452f 只落了渲染半边（ofGomoku 三工厂零调用者），生产者 getTooltipImage 与 Shift 提示行由 d78f1ba29 补回
cn/sh1rocu/touhoulittlemaid/mixin/accessor/DimensionDataStorageAccessor.java	13	暴露 DimensionDataStorage.dataFolder	未找到	待定	子代理报「未找到」，**主模型尚未复核**
cn/sh1rocu/touhoulittlemaid/mixin/accessor/ItemRendererAccessor.java	15	暴露 ItemRenderer.renderModelLists	ChairItemRenderer/InitEntitiesRender 直接实现	替换	
cn/sh1rocu/touhoulittlemaid/mixin/accessor/TextureSheetParticleAccessor.java	15	暴露 TextureSheetParticle.setSprite	SingleQuadParticleAccessor	替换	26.1 的 mixins.json 里有 accessor.SingleQuadParticleAccessor
cn/sh1rocu/touhoulittlemaid/mixin/client/CreateWorldScreenMixin.java	43	建世界屏触发 AddPackFindersEvent	PackRepositoryMixin+CustomPackLoader	替换	已复核：自定义资源包发现改由 PackRepositoryMixin + PackRepositoryExtension + CustomPackLoader/ServerCustomPackLoader 承担
cn/sh1rocu/touhoulittlemaid/mixin/client/LocalPlayerMixin.java	18	本地玩家受伤触发 LivingAttackEvent	26.1 事件体系	替换	已复核：fork 自造的 Forge 风格事件总线整体被换掉，26.1 改用自己那套回调（KeyInputCallback/PlaySoundEvent/RenderHandEvent 等）。靶点类在 26.1.2 仍存在，所以不是靶点没了
cn/sh1rocu/touhoulittlemaid/mixin/client/MinecraftMixin.java	86	Minecraft 构造与包加载，自定义资源包+拾取事件	PackRepositoryMixin+CustomPackLoader	替换	已复核：自定义资源包发现改由 PackRepositoryMixin + PackRepositoryExtension + CustomPackLoader/ServerCustomPackLoader 承担
cn/sh1rocu/touhoulittlemaid/mixin/client/ParticleEngineMixin.java	35	自定义方块的破坏粒子效果	ParticleSpawner(非 mixin)	待定	子代理报「未找到」，**主模型尚未复核**；26.1 有 ParticleSpawner 与 IBlockExploded，像是换了机制但未证实
cn/sh1rocu/touhoulittlemaid/mixin/client/RemotePlayerMixin.java	18	远程玩家受伤触发 LivingAttackEvent	26.1 事件体系	替换	已复核：fork 自造的 Forge 风格事件总线整体被换掉，26.1 改用自己那套回调（KeyInputCallback/PlaySoundEvent/RenderHandEvent 等）。靶点类在 26.1.2 仍存在，所以不是靶点没了
cn/sh1rocu/touhoulittlemaid/mixin/common/BundlePacketMixin.java	37	展平嵌套 bundle 包（PortingLib 遗留）	未找到	待定	子代理报「未找到」，**主模型尚未复核**
cn/sh1rocu/touhoulittlemaid/mixin/common/ExplosionMixin.java	28	爆炸触发 ExplosionEvents	26.1 事件体系	替换	已复核：fork 自造的 Forge 风格事件总线整体被换掉，26.1 改用自己那套回调（KeyInputCallback/PlaySoundEvent/RenderHandEvent 等）。靶点类在 26.1.2 仍存在，所以不是靶点没了
cn/sh1rocu/touhoulittlemaid/mixin/common/LevelMixin.java	34	Level.explode 前置事件	ServerLevelMixin/ClientLevelMixin	替换	已复核：fork 自造的 Forge 风格事件总线整体被换掉，26.1 改用自己那套回调（KeyInputCallback/PlaySoundEvent/RenderHandEvent 等）。靶点类在 26.1.2 仍存在，所以不是靶点没了
cn/sh1rocu/touhoulittlemaid/mixin/common/LootContextMixin.java	24	记录/查询被执行的 loot table id	未找到	待定	子代理报「未找到」，**主模型尚未复核**；需查它服务于哪个功能
cn/sh1rocu/touhoulittlemaid/mixin/common/LootTableMixin.java	62	拦截 loot 应用过程（ILootTable）	未找到	待定	子代理报「未找到」，**主模型尚未复核**；需查它服务于哪个功能
cn/sh1rocu/touhoulittlemaid/mixin/common/PlayerListMixin.java	19	玩家加入触发 PlayerLoggedInEvent	26.1 事件体系	替换	已复核：fork 自造的 Forge 风格事件总线整体被换掉，26.1 改用自己那套回调（KeyInputCallback/PlaySoundEvent/RenderHandEvent 等）。靶点类在 26.1.2 仍存在，所以不是靶点没了。注：我们已自建同名 PlayerListMixin 做 op/deop 重发，与它无关
cn/sh1rocu/touhoulittlemaid/mixin/common/ServerPacksSourceMixin.java	29	数据包加载触发 AddPackFindersEvent	PackRepositoryMixin+CustomPackLoader	替换	已复核：自定义资源包发现改由 PackRepositoryMixin + PackRepositoryExtension + CustomPackLoader/ServerCustomPackLoader 承担
com/github/tartaricacid/touhoulittlemaid/mixin/client/ItemPropertiesMixin.java	22	女仆持钓竿时的钓鱼状态谓词	client/mixin/FishingRodCastMixin	替换	**已复核，子代理报错**：26.1 有 client.FishingRodCastMixin 且已登记进 mixins.json
com/github/tartaricacid/touhoulittlemaid/util/IconCache.java	48	模型图标缓存的截图导出	未找到	丢失	与模型图标缓存同簇（CacheIconManager 等），MiscConfig.MODEL_ICON_CACHE 开关一并消失
com/github/tartaricacid/touhoulittlemaid/util/MaidFluidRender.java	119	把流体纹理画进 GUI（源自 JEI）	未找到	丢失	【已补回 ff7ee685d】26.1.2 漂移：FluidVariantRendering.getSprite 已删 → ModelManager.getFluidStateModelSet 链（JEI 29.5 Fabric 同款，字节码实查）。与背包四型同批（液体背包），见 entity/backpack 那批
com/github/tartaricacid/touhoulittlemaid/util/MaidFluidUtil.java	54	流体与桶的交互处理	未找到	丢失	【已补回 ff7ee685d】Forge ItemHandlerHelper → 宿主 ItemsUtil.insertItemStacked（SlottedStorage）。与背包四型同批（液体背包），见 entity/backpack 那批
com/github/tartaricacid/touhoulittlemaid/util/ResourceLocationUtil.java	27	资源 id 字符串的校验与分解	util/IdentifierUtil	替换	**已复核，子代理报错**：MiscConfig 的 import 从 ResourceLocationUtil.isValidResourceLocation 改成了 IdentifierUtil.isValid
com/github/tartaricacid/touhoulittlemaid/util/ShapeDraw.java	27	画扇形等 2D 几何	未找到	待定	子代理报「未找到」，**主模型尚未复核**
cn/sh1rocu/touhoulittlemaid/util/entity/PlayerUtil.java	20	玩家交互距离计算	未找到	待定	子代理报「未找到」，**主模型尚未复核**
cn/sh1rocu/touhoulittlemaid/util/recipe/ItemStackShapelessRecipeBuilder.java	91	支持 ItemStack 结果的无序合成配方构建器	未找到	待定	子代理报「未找到」，**主模型尚未复核**；datagen 用，玩家不可见
com/github/tartaricacid/touhoulittlemaid/entity/backpack/CraftingTableBackpack.java	110	工作台背包：随身合成	未找到	丢失	【已补回 60aa8dcc6+审计 a08bf30e8（tip 译文）/59821b556（创造栏顺序）/d3bc262b9（祭坛配方，生存获取路径）】背包四型：工作台/末影箱/熔炉/液体，行为基准上是 9 种背包，宿主只剩 5 种
com/github/tartaricacid/touhoulittlemaid/entity/backpack/EnderChestBackpack.java	111	末影箱背包：随身末影箱	未找到	丢失	【已补回 8efc995d4+审计 615375eb0（删误入库空文件）/59821b556（创造栏顺序）/d3bc262b9（祭坛配方+STRONGHOLD_CORRIDOR 战利品，生存获取路径）】背包四型：工作台/末影箱/熔炉/液体，行为基准上是 9 种背包，宿主只剩 5 种
com/github/tartaricacid/touhoulittlemaid/entity/backpack/FurnaceBackpack.java	141	熔炉背包：随身烧炼	未找到	丢失	【已补回 40b8cfde0】丢物走宿主 VanillaContainerWrapper（transfer），获取路径（祭坛配方+SIMPLE_DUNGEON 战利品）随刀齐。⚠️ **比末影箱/工作台贵一档**：依赖 IBackpackData（同簇，也丢了）与 cn.sh1rocu 的 Forge InvWrapper，后者在 26.1 已整包换成 util/transfer 的资源句柄 API，是**重写不是搬运**。背包四型：工作台/末影箱/熔炉/液体，行为基准上是 9 种背包，宿主只剩 5 种。⚠️ 落地时别漏获取路径：基准的战利品表 furnace_or_crafting_table_backpack（注入 SIMPLE_DUNGEON）/ tank_backpack（注入 NETHER_BRIDGE）与祭坛配方（熔炉=中背包+#c:player_workstations/furnaces；液体=中背包+桶，均 power 0.2）——审计时因引用未搬物品顺延至此
com/github/tartaricacid/touhoulittlemaid/entity/backpack/TankBackpack.java	157	液体背包：随身流体储存	未找到	丢失	【已补回 ff7ee685d】沿用熔炉刀的附件机制；储罐内容随物品走（getTakeOffItemStack/onPutOn）。⚠️ **比末影箱/工作台贵一档**：依赖 IBackpackData（同簇，也丢了）与 cn.sh1rocu 的 Forge InvWrapper，后者在 26.1 已整包换成 util/transfer 的资源句柄 API，是**重写不是搬运**。背包四型：工作台/末影箱/熔炉/液体，行为基准上是 9 种背包，宿主只剩 5 种。⚠️ 落地时别漏获取路径：基准的战利品表 furnace_or_crafting_table_backpack（注入 SIMPLE_DUNGEON）/ tank_backpack（注入 NETHER_BRIDGE）与祭坛配方（熔炉=中背包+#c:player_workstations/furnaces；液体=中背包+桶，均 power 0.2）——审计时因引用未搬物品顺延至此
com/github/tartaricacid/touhoulittlemaid/entity/backpack/data/FurnaceBackpackData.java	241	熔炉背包的数据与烧炼逻辑	未找到	丢失	【已补回 40b8cfde0】含 #1053 稀疏槽位修复与三处 26.1.2 漂移（assemble 单参 / ItemStackTemplate 燃料残留 / canInsertItem 挪进 MaidItemManager），GameTest 四条钉着。⚠️ **比末影箱/工作台贵一档**：依赖 IBackpackData（同簇，也丢了）与 cn.sh1rocu 的 Forge InvWrapper，后者在 26.1 已整包换成 util/transfer 的资源句柄 API，是**重写不是搬运**。背包四型：工作台/末影箱/熔炉/液体，行为基准上是 9 种背包，宿主只剩 5 种
com/github/tartaricacid/touhoulittlemaid/entity/backpack/data/TankBackpackData.java	115	液体背包的数据与流体操作	未找到	丢失	【已补回 ff7ee685d】8.0.x 漂移：writeData/readData → 静态 SingleVariantStorage.writeValue/readValue（格式兼容，GameTest 往返钉着）。⚠️ **比末影箱/工作台贵一档**：依赖 IBackpackData（同簇，也丢了）与 cn.sh1rocu 的 Forge InvWrapper，后者在 26.1 已整包换成 util/transfer 的资源句柄 API，是**重写不是搬运**。背包四型：工作台/末影箱/熔炉/液体，行为基准上是 9 种背包，宿主只剩 5 种
